Index,Date,Close,VWAP,Distance_%,Zone
NIFTYREALTY,2026-04-20,782.05,715.64,9.28,OVEREXTENDED
NIFTYMETAL,2026-04-20,12829.65,11789.5,8.82,OVEREXTENDED
NIFTYNEXT50,2026-04-20,70341.0,64848.63,8.47,OVEREXTENDED
NIFTYAUTO,2026-04-20,26522.3,25179.81,5.33,OVEREXTENDED
BANKNIFTY,2026-04-20,56582.35,53895.98,4.98,OVEREXTENDED
NIFTYFMCG,2026-04-20,49555.75,47314.22,4.74,OVEREXTENDED
NIFTY,2026-04-20,24364.85,23396.3,4.14,OVEREXTENDED
NIFTYIT,2026-04-20,31585.75,30383.6,3.96,OVEREXTENDED
PVTBANK,2026-04-09,26259.75,25538.6,2.82,ABOVE_VWAP
FINNIFTY,2026-04-09,25685.85,25027.72,2.63,ABOVE_VWAP
PSUBANK,2026-04-09,8605.7,8480.69,1.47,ABOVE_VWAP
NIFTYPHARMA,2026-04-20,22456.75,22230.0,1.02,ABOVE_VWAP
VIX,2026-04-20,18.79,22.37,-16.0,DEEP_DISCOUNT
