Index,Date,Close,VWAP,Distance_%,Zone
NIFTYREALTY,2026-04-24,778.0,734.11,5.98,OVEREXTENDED
NIFTYFMCG,2026-04-24,50766.25,48064.79,5.62,OVEREXTENDED
NIFTYNEXT50,2026-04-24,69883.95,66197.85,5.57,OVEREXTENDED
NIFTYMETAL,2026-04-24,12746.65,12088.85,5.44,OVEREXTENDED
BANKNIFTY,2026-04-24,56089.75,54526.57,2.87,ABOVE_VWAP
PVTBANK,2026-04-09,26259.75,25538.6,2.82,ABOVE_VWAP
FINNIFTY,2026-04-09,25685.85,25027.72,2.63,ABOVE_VWAP
PSUBANK,2026-04-09,8605.7,8480.69,1.47,ABOVE_VWAP
NIFTYPHARMA,2026-04-24,22580.1,22274.8,1.37,ABOVE_VWAP
NIFTY,2026-04-24,23897.95,23619.35,1.18,ABOVE_VWAP
NIFTYAUTO,2026-04-24,25652.85,25471.46,0.71,FAIR_VALUE
NIFTYIT,2026-04-24,28530.6,30631.64,-6.86,DEEP_DISCOUNT
VIX,2026-04-24,19.71,21.62,-8.81,DEEP_DISCOUNT
