Index,Date,Close,VWAP,Distance_%,Zone
NIFTYREALTY,2026-04-17,786.9,711.9,10.54,OVEREXTENDED
NIFTYMETAL,2026-04-17,12880.0,11725.18,9.85,OVEREXTENDED
NIFTYNEXT50,2026-04-17,70273.8,64578.08,8.82,OVEREXTENDED
NIFTYAUTO,2026-04-17,26435.0,25104.89,5.3,OVEREXTENDED
NIFTYIT,2026-04-17,31809.85,30235.82,5.21,OVEREXTENDED
BANKNIFTY,2026-04-17,56565.7,53795.33,5.15,OVEREXTENDED
NIFTYFMCG,2026-04-17,49657.75,47247.22,5.1,OVEREXTENDED
NIFTY,2026-04-17,24353.55,23354.59,4.28,OVEREXTENDED
PVTBANK,2026-04-09,26259.75,25538.6,2.82,ABOVE_VWAP
FINNIFTY,2026-04-09,25685.85,25027.72,2.63,ABOVE_VWAP
PSUBANK,2026-04-09,8605.7,8480.69,1.47,ABOVE_VWAP
NIFTYPHARMA,2026-04-17,22497.25,22238.28,1.16,ABOVE_VWAP
VIX,2026-04-17,17.21,22.48,-23.45,DEEP_DISCOUNT
