Index,Date,Close,VWAP,Distance_%,Zone
NIFTYREALTY,2026-04-22,803.35,724.04,10.95,OVEREXTENDED
NIFTYNEXT50,2026-04-22,71346.2,65477.36,8.96,OVEREXTENDED
NIFTYMETAL,2026-04-22,12892.2,11931.3,8.05,OVEREXTENDED
NIFTYFMCG,2026-04-22,51199.0,47632.39,7.49,OVEREXTENDED
BANKNIFTY,2026-04-22,57124.45,54173.94,5.45,OVEREXTENDED
NIFTYAUTO,2026-04-22,26450.25,25328.37,4.43,OVEREXTENDED
NIFTY,2026-04-22,24378.1,23499.8,3.74,OVEREXTENDED
PVTBANK,2026-04-09,26259.75,25538.6,2.82,ABOVE_VWAP
FINNIFTY,2026-04-09,25685.85,25027.72,2.63,ABOVE_VWAP
PSUBANK,2026-04-09,8605.7,8480.69,1.47,ABOVE_VWAP
NIFTYPHARMA,2026-04-22,22455.45,22230.76,1.01,ABOVE_VWAP
NIFTYIT,2026-04-22,30496.25,30580.72,-0.28,FAIR_VALUE
VIX,2026-04-22,18.3,22.14,-17.34,DEEP_DISCOUNT
