Index,Date,Close,ADX,+DI,-DI,Signal
PSUBANK,2026-04-09,8605.7,47.32,30.27,32.44,DOWNTREND
PVTBANK,2026-04-09,26259.75,45.19,30.61,32.12,DOWNTREND
FINNIFTY,2026-04-09,25685.85,43.66,30.47,34.31,DOWNTREND
NIFTYFMCG,2026-04-24,50766.25,36.97,49.78,6.18,UPTREND
NIFTYMETAL,2026-04-24,12746.65,35.31,47.0,10.16,UPTREND
NIFTYIT,2026-04-24,28530.6,34.95,24.21,36.89,DOWNTREND
VIX,2026-04-24,19.71,31.83,8.87,27.04,DOWNTREND
NIFTYNEXT50,2026-04-24,69883.95,29.79,51.17,12.27,UPTREND
NIFTYAUTO,2026-04-24,25652.85,27.8,36.41,14.06,UPTREND
NIFTYREALTY,2026-04-24,778.0,26.16,43.68,14.22,UPTREND
BANKNIFTY,2026-04-24,56089.75,19.81,39.6,15.58,WEAK
NIFTY,2026-04-24,23897.95,19.69,38.98,18.91,WEAK
NIFTYPHARMA,2026-04-24,22580.1,18.77,30.98,6.36,WEAK
