Index,Date,Close,ADX,+DI,-DI,Signal
PSUBANK,2026-04-09,8605.7,47.32,30.27,32.44,DOWNTREND
PVTBANK,2026-04-09,26259.75,45.19,30.61,32.12,DOWNTREND
FINNIFTY,2026-04-09,25685.85,43.66,30.47,34.31,DOWNTREND
NIFTYFMCG,2026-04-23,51140.5,36.21,49.08,9.66,UPTREND
NIFTYIT,2026-04-23,30124.3,33.95,28.03,24.05,UPTREND
NIFTYMETAL,2026-04-23,12786.25,33.44,44.16,14.54,UPTREND
VIX,2026-04-23,18.59,30.6,6.44,27.26,DOWNTREND
NIFTYNEXT50,2026-04-23,70410.35,29.65,49.17,15.26,UPTREND
NIFTYAUTO,2026-04-23,25828.1,27.5,35.56,18.16,UPTREND
NIFTYREALTY,2026-04-23,788.65,26.19,41.8,16.54,UPTREND
NIFTYPHARMA,2026-04-23,22986.35,17.59,28.49,20.65,WEAK
