Index,Date,Close,ADX,+DI,-DI,Signal
PSUBANK,2026-04-09,8605.7,47.32,30.27,32.44,DOWNTREND
PVTBANK,2026-04-09,26259.75,45.19,30.61,32.12,DOWNTREND
FINNIFTY,2026-04-09,25685.85,43.66,30.47,34.31,DOWNTREND
NIFTYFMCG,2026-04-22,51199.0,36.15,48.57,8.78,UPTREND
NIFTYIT,2026-04-22,30496.25,33.53,33.63,21.33,UPTREND
NIFTYMETAL,2026-04-22,12892.2,31.19,46.7,11.81,UPTREND
NIFTYNEXT50,2026-04-22,71346.2,29.4,49.73,13.18,UPTREND
NIFTYAUTO,2026-04-22,26450.25,27.9,39.97,10.26,UPTREND
VIX,2026-04-22,18.3,27.86,4.79,34.49,DOWNTREND
NIFTYREALTY,2026-04-22,803.35,25.91,42.52,13.19,UPTREND
NIFTYPHARMA,2026-04-22,22455.45,18.34,21.55,20.36,WEAK
